templo,templo.adress,bicimad.station,bicimad.address,distance
Basílica Jesús de Medinaceli,PLAZA JESUS 2,27 - Huertas,Calle Jesús nº 1,82.89024078537761
Basílica La Milagrosa,CALLE GARCIA DE PAREDES 45,125 - General Martínez Campos ,Calle Fernández de la Hoz nº 29,177.52027632953153
Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4,35 - Plaza del Cordón,Plaza del Cordón,56.629797395806854
Capilla Nuestra Señora de la Bien Aparecida,CALLE PIO BAROJA 2,71 - Doce de Octubre,Calle Doce de Octubre nº 28,101.50058074045957
Capilla de San Ignacio de los Vascos,CALLE PRINCIPE 31,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,53.45118816678377
Capilla de San Isidro,CALLE AGUILA 1,38 - Plaza de los Carros,Carrera de San Francisco nº 1,157.03870608278743
Catedral Santa María la Real de la Almudena,CALLE BAILEN 10,166 - Segovia 26,Calle Segovia nº 26,190.72403107219202
Concepción Real de Calatrava,CALLE ALCALA 25,28 - Sevilla,Calle Alcalá nº 27,37.55330665633403
Convento de Santa Teresa y San José (Carmelitas Descalzos),PLAZA ESPAÑA 14,116a - Plaza de España A,Calle Princesa nº 5,187.42932300295757
Convento de las Comendadoras de Santiago,PLAZA COMENDADORAS 10,13 - Conde Duque,Calle Conde Duque nº 22,126.85370034729645
Ermita Virgen del Puerto,PASEO VIRGEN DEL PUERTO 4,167 - Segovia 45,Calle Segovia nº 45,370.4718442850838
Ermita de San Isidro,PASEO ERMITA DEL SANTO 72,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,697.9674138768836
Fuente de San Isidro,PASEO ERMITA DEL SANTO 72,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,697.9674138768836
Iglesia Catedral de las Fuerzas Armadas,CALLE SACRAMENTO 11,166 - Segovia 26,Calle Segovia nº 26,163.2633867780972
Iglesia Convento del Santísimo Cristo del Pardo,PISTA CRISTO DE EL PARDO 11,261 - Facultad Derecho,Avenida Complutense nº 23,9099.446411127594
Iglesia Cristo Rey de Argüelles,CALLE MARTIN DE LOS HEROS 91,117 - Altamirano,Calle Altamirano nº 24,144.49160992772948
Iglesia Esclavas del Sagrado Corazón de Jesús,PASEO GENERAL MARTINEZ CAMPOS 10,246 - Santa Engracia 87,Calle Santa Engracia nº 87,211.60315299777972
Iglesia Madres Dominicas (Monasterio Santo Domingo el Real),CALLE CLAUDIO COELLO 112,190 - Velázquez-Diego de León,Calle Velázquez nº 91,195.17439190797793
Iglesia Nuestra Señora de Lourdes y San Justino. Iglesia de la Renovación Carismática,CALLE SAN JUAN DE MATA 30,224 - Caramuel,Calle Caramuel nº 51,2563.4419733086083
Iglesia Nuestra Señora de Montserrat,CALLE SAN BERNARDO 79,12 - San Hermenegildo,Calle San Bernardo nº 85,70.73769059005693
Iglesia Nuestra Señora de la Paz,CALLE DOCTOR ESQUERDO 44,62 - O'Donnell,Calle O'Donnell nº 50,283.2513043335794
