templo,templo.adress,bicipark.station,bicipark.address,distance
Basílica Jesús de Medinaceli,PLAZA JESUS 2,Bicipark Canalejas,-,532.0339313820409
Basílica La Milagrosa,CALLE GARCIA DE PAREDES 45,Bicipark Almagro,"Calle Almagro, 11",748.6435376753477
Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4,Bicipark Canalejas,-,954.4967239601834
Capilla Nuestra Señora de la Bien Aparecida,CALLE PIO BAROJA 2,Bicipark Montalban,"Calle de Montalbán, 5",1401.9694096828275
Capilla de San Ignacio de los Vascos,CALLE PRINCIPE 31,Bicipark Canalejas,-,389.64525900113375
Capilla de San Isidro,CALLE AGUILA 1,Bicipark Canalejas,-,1366.8987856797846
Catedral Santa María la Real de la Almudena,CALLE BAILEN 10,Bicipark Canalejas,-,1232.3940252763084
Concepción Real de Calatrava,CALLE ALCALA 25,Bicipark Canalejas,-,69.46920056522669
Convento de Santa Teresa y San José (Carmelitas Descalzos),PLAZA ESPAÑA 14,Bicipark Canalejas,-,1399.6764923220271
Convento de las Comendadoras de Santiago,PLAZA COMENDADORAS 10,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1309.4136313116783
Ermita Virgen del Puerto,PASEO VIRGEN DEL PUERTO 4,Bicipark Canalejas,-,1857.1491555290393
Ermita de San Isidro,PASEO ERMITA DEL SANTO 72,Bicipark Canalejas,-,2932.0362510550435
Fuente de San Isidro,PASEO ERMITA DEL SANTO 72,Bicipark Canalejas,-,2932.0362510550435
Iglesia Catedral de las Fuerzas Armadas,CALLE SACRAMENTO 11,Bicipark Canalejas,-,1133.694492822798
Iglesia Convento del Santísimo Cristo del Pardo,PISTA CRISTO DE EL PARDO 11,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",5994.691063512375
Iglesia Cristo Rey de Argüelles,CALLE MARTIN DE LOS HEROS 91,Bicipark Almagro,"Calle Almagro, 11",2320.4875539773943
Iglesia Esclavas del Sagrado Corazón de Jesús,PASEO GENERAL MARTINEZ CAMPOS 10,Bicipark Almagro,"Calle Almagro, 11",626.0505133858817
Iglesia Madres Dominicas (Monasterio Santo Domingo el Real),CALLE CLAUDIO COELLO 112,Bicipark Salamanca,Pl. del Marqués de Salamanca,776.296736482107
Iglesia Nuestra Señora de Lourdes y San Justino. Iglesia de la Renovación Carismática,CALLE SAN JUAN DE MATA 30,Bicipark Aviación,Parking Aviación Española,3162.3471084182816
Iglesia Nuestra Señora de Montserrat,CALLE SAN BERNARDO 79,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1111.809484634167
Iglesia Nuestra Señora de la Paz,CALLE DOCTOR ESQUERDO 44,Bicipark Salamanca,Pl. del Marqués de Salamanca,1367.5638163598446
Iglesia San Antonio de los Alemanes,CALLE CORREDERA BAJA DE SAN PABLO 16,Bicipark Canalejas,-,638.5220487611093
Iglesia San José de la Montaña,CALLE FERNANDEZ DE LA HOZ 16,Bicipark Almagro,"Calle Almagro, 11",200.97280935003837
Iglesia San Pedro el Viejo,CALLE NUNCIO 14,Bicipark Canalejas,-,1029.777742613885
Iglesia de María Reina,CALLE PICO DE LA MALICIOSA 9,Bicipark Montalban,"Calle de Montalbán, 5",3947.0837376672957
Iglesia de Nuestra Señora de las Maravillas,CALLE DOS DE MAYO 11,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",897.4421943089026
Iglesia de San Antón,CALLE HORTALEZA 63,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",440.6360309671591
Iglesia de San Felipe Neri,CAMINO VALDERRIBAS 39,Bicipark Montalban,"Calle de Montalbán, 5",2960.2455378875693
Iglesia de la Santísima Trinidad (Trinitarios),CALLE ECHEGARAY 30,Bicipark Canalejas,-,407.7776262720293
Iglesia del Espíritu Santo,CALLE SERRANO 125,Bicipark Orense,"Avenida General Perón, 27",1391.1823936972733
Iglesia del Santo Niño del Remedio,CALLE DONADOS 6,Bicipark Canalejas,-,748.7183489760043
Monasterio de Nuestra Señora de las Maravillas (Carmelitas Calzadas de la antigua observancia),CALLE PRINCIPE DE VERGARA 23,Bicipark Salamanca,Pl. del Marqués de Salamanca,546.1969211367377
Monasterio de San Plácido (Benedictinas),CALLE SAN ROQUE 9,Bicipark Canalejas,-,702.8546453595648
Monasterio de la Inmaculada y San Pascual (Clarisas),PASEO RECOLETOS 11,Bicipark Recoletos,"Paseo de Recoletos, 2",102.04375635478266
Monasterio de la Santísima Trinidad y de San Ildefonso (Trinitarias),CALLE LOPE DE VEGA 18,Bicipark Canalejas,-,483.1622987996896
Monasterio del Corpus Christi (Jerónimas 'Carboneras'),PLAZA CONDE DE MIRANDA 3,Bicipark Canalejas,-,943.1230040367104
Nuestra Señora de la Merced - Parroquia personal de habla inglesa,CALLE MAURICIO LEGENDRE 10,Bicipark Recuerdo,"Calle Hiedra, 26",604.6718856853245
Oratorio San Felipe Neri,CALLE ANTONIO ARIAS 17,Bicipark Montalban,"Calle de Montalbán, 5",1654.328211962665
Oratorio de la Hospitalidad de Nuestra Señora de Lourdes,CALLE FORTUNY 21,Bicipark Almagro,"Calle Almagro, 11",163.93063246211813
Parroquia Ascensión del Señor,CALLE VIA CARPETANA 105,Bicipark Aviación,Parking Aviación Española,3999.1423606576855
Parroquia Asunción de Nuestra Señora. Calle Gabriel y Galán,CALLE GABRIEL Y GALAN 17,Bicipark Orense,"Avenida General Perón, 27",2145.6956666502397
Parroquia Asunción de Nuestra Señora. Calle Pérez de Victoria,CALLE PEREZ DE VICTORIA 9,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",6523.945377695205
Parroquia Bautismo del Señor,CALLE GAVILANES 11,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2322.6880272863887
Parroquia Beata María Ana Mogas,CALLE BELLA ALTISIDORA 6,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2825.1289855342993
Parroquia Beata María Ana de Jesús,CALLE GUILLERMO DE OSMA 10,Bicipark Canalejas,-,2651.1436288849227
